timestamp,solver_type,total_moves,time,finished,turns
2024-12-30 23:27:43,spiral,48,0.01,True,14
2024-12-30 23:27:45,spiral,1059,0.06,True,66
2024-12-30 23:27:46,spiral,3217,0.6,True,114
2024-12-30 23:27:47,spiral,923,0.06,True,61
2024-12-30 23:27:48,spiral,714,0.07,True,54
2024-12-30 23:27:50,spiral,3973,0.36,True,127
2024-12-30 23:27:51,spiral,446,0.02,True,43
2024-12-30 23:27:52,spiral,58,0.01,True,16
2024-12-30 23:27:55,spiral,18362,2.33,True,272
2024-12-30 23:28:14,spiral,41455,18.26,True,408
2024-12-30 23:28:16,spiral,2351,0.56,True,97
2024-12-30 23:28:17,spiral,2,0.0,True,2
2024-12-30 23:28:20,spiral,5378,1.45,True,147
2024-12-30 23:28:24,spiral,6464,3.01,True,161
2024-12-30 23:28:25,spiral,4696,0.28,True,138
2024-12-30 23:28:30,spiral,5613,3.8,True,150
2024-12-30 23:28:32,spiral,3551,1.17,True,120
2024-12-30 23:28:50,zigzag,33667,16.67,True,268
2024-12-30 23:29:09,zigzag,32083,18.59,True,256
2024-12-30 23:29:23,zigzag,15529,12.32,True,124
2024-12-30 23:29:40,zigzag,31615,16.28,True,252
2024-12-30 23:29:41,zigzag,1818,0.51,True,14
2024-12-30 23:29:43,zigzag,1120,0.04,False,8
2024-12-30 23:30:07,zigzag,46786,22.94,True,374
2024-12-30 23:30:12,zigzag,14018,4.04,True,112
2024-12-30 23:30:14,zigzag,15960,1.83,False,126
2024-12-30 23:30:18,zigzag,12298,2.4,True,98
2024-12-30 23:30:20,zigzag,6265,0.86,True,50
2024-12-30 23:30:22,zigzag,4871,0.86,True,38
2024-12-30 23:30:24,zigzag,12753,0.86,True,102
2024-12-30 23:30:59,zigzag,41325,34.34,True,330
2024-12-30 23:31:05,zigzag,18753,4.69,True,150
2024-12-30 23:31:18,zigzag,16929,12.52,True,134
2024-12-30 23:31:23,zigzag,12659,3.91,True,100
2024-12-30 23:31:33,zigzag,30076,8.78,True,240
2024-12-30 23:31:34,zigzag,1004,0.05,True,8
2024-12-30 23:31:39,zigzag,9950,3.81,True,78
2024-12-30 23:31:40,zigzag,3253,0.14,True,26
2024-12-30 23:31:50,zigzag,16091,8.83,True,128
2024-12-30 23:31:58,zigzag,15571,6.76,True,124
2024-12-30 23:31:59,zigzag,1527,0.12,True,12
2024-12-30 23:32:11,zigzag,39282,11.5,True,314
2024-12-30 23:32:15,zigzag,4124,2.59,True,32
2024-12-30 23:32:17,zigzag,792,0.8,True,6
2024-12-30 23:32:24,zigzag,16774,5.68,True,134
2024-12-30 23:32:40,zigzag,18667,15.36,True,148
2024-12-30 23:32:42,zigzag,8645,1.02,False,68
2024-12-30 23:32:59,zigzag,27320,15.94,True,218
2024-12-30 23:33:06,zigzag,25280,6.42,True,202
2024-12-30 23:33:07,zigzag,273,0.01,True,2
2024-12-30 23:33:16,zigzag,13252,7.19,True,106
2024-12-30 23:33:57,zigzag,40923,40.0,True,326
2024-12-30 23:34:17,zigzag,30657,19.42,True,244
2024-12-30 23:34:19,zigzag,4793,0.84,True,38
2024-12-30 23:34:20,zigzag,2917,0.45,True,22
2024-12-30 23:35:15,zigzag,56930,53.65,True,454
2024-12-30 23:35:24,zigzag,24085,7.94,True,192
2024-12-30 23:35:31,zigzag,8276,5.5,True,66
2024-12-30 23:35:32,zigzag,799,0.2,True,6
2024-12-30 23:35:44,zigzag,33802,10.95,True,270
2024-12-30 23:36:08,zigzag,30767,22.94,True,246
2024-12-30 23:36:09,zigzag,1126,0.1,True,8
2024-12-30 23:36:10,zigzag,509,0.02,True,4
2024-12-30 23:36:11,zigzag,674,0.08,True,4
2024-12-30 23:36:12,zigzag,5028,0.22,True,40
2024-12-30 23:36:14,zigzag,4348,0.76,True,34
2024-12-30 23:36:15,zigzag,9,0.0,True,0
